new_song_ID,title,release,artist_name,year,song_id
1183,Sincerité Et Jalousie,Simple Et Funky,Alliance Ethnik,0,SOBOUPA12A6D4F81F1
1104,The Maestro,Check Your Head,Beastie Boys,1992,SOMMONH12A6D4F41CD
1041,Nothin' On You [feat. Bruno Mars] (Album Version),Nothin' On You [feat. Bruno Mars],B.o.B,0,SOULTKQ12AB018A183
1041,Nothin' On You [feat. Bruno Mars] (Album Version),B.o.B Presents: The Adventures of Bobby Ray,B.o.B,2010,SOULTKQ12AB018A183
1020,Rock Star,In Search Of...,N.E.R.D.,2002,SOWRREB12A6D4FA7CB
1083,You've Got The Love,Lungs,Florence + The Machine,2009,SOPAYPV12AB017DB0C
1189,Nah!,Up!,Shania Twain,2002,SOBABRB12A6701DF4B
1152,Eenie Meenie,Eenie Meenie,Sean Kingston and Justin Bieber,0,SOGSAYQ12AB018BA14
1103,Forgive Me,R&B Love Songs 2010,Leona Lewis,2008,SOMNTMT12A8C1400F6
1003,Voices On A String (Album Version),Kill The House Lights,Thursday,2007,SOZEBAZ12AF72A80C8
1087,Here Without You,Here Without You,3 Doors Down,2002,SOOJJCT12A6310E1C0
1086,Rabbit Heart (Raise It Up),Rabbit Heart EP,Florence + The Machine,2009,SOOWVNN12A8C140775
1070,Brave The Elements,Brave The Elements - EP,Colossal,0,SOQGSUC12A8C13B66D
1092,Reason I'm Alive (Explicit),Full Circle,Drowning Pool,2007,SONWUZV12AB0180BAD
1014,Half Of My Heart,Battle Studies,John Mayer,0,SOXNZOW12AB017F756
1015,Unite (2009 Digital Remaster),Hello Nasty (Remastered Edition),Beastie Boys,0,SOXLOQG12AF72A2D55
1163,The Funeral (Album Version),The Road Mix: Music From The Television Series One Tree Hill Vol. 3,Band Of Horses,0,SOEQJBS12A8AE475A4
1099,Sexy Bitch,Club Traxxx Summer Slammin'_ Vol. 3,DJ Dizzy,2009,SONHVVE12AB018D038
1107,Behind The Sea [Live In Chicago],Live In Chicago,Panic At The Disco,0,SOMGIYR12AB0187973
1038,Paper Planes,Decent Work For Decent Pay,M.I.A.,0,SOUOEMP12A8C13866E
1133,My Immortal (Album Version),Fallen,Evanescence,2003,SOIPYPB12A8C1360D4
1133,My Immortal,Fallen,Evanescence,2000,SOIPYPB12A8C1360D4
1008,Cry Me A River,Chérie Love Songs,Justin Timberlake,2002,SOYAIPB12A8C143D84
1136,Reign Of The Tyrants,Decade Of The Nail-spiked Bat,Jag Panzer,1984,SOIMTII12A6D4F662A
1113,Sample Track 2,Dance & Hip Hop Breaks,Simon Harris,0,SOLRGNF12AB0187CF4
1029,Party In The U.S.A.,Party In The U.S.A.,Miley Cyrus,2009,SOVWADY12AB0189C63
1105,I Wanna Be Sedated (Remastered Album Version ),Loud_ Fast_ Ramones:  Their Toughest Hits,Ramones,0,SOMLYJD12A58A7B155
1137,Yeah!,Confessions,Usher Featuring Lil' Jon & Ludacris,2007,SOIIOUS12A8AE47E20
1193,Undo,Vespertine Live,Björk,2001,SOAUWYT12A81C206F1
1010,Cosmic Love,Lungs,Florence + The Machine,2009,SOXWYZP12AF72A42A6
1009,Masquerade (Reality Check Album Version),Reality Check,Reality Check,1997,SOYABSZ12A81C1FEAC
1128,Clara meets Slope - Hard To Say,All I Can Provide,Clara Hill,2006,SOJSXJY12A8C13E32E
1167,Hochmah (Interlude),Grace And Gratitude,Olivia Newton-John,2006,SODWXJW12AAA8C5C29
1187,Le Courage Des Oiseaux,La Fossette,Dominique A,1991,SOBFRNE12A6D4F7995
1180,Stronger,Graduation,Kanye West,2007,SOBXHDL12A81C204C0
1180,Stronger,Graduation,Kanye West,2007,SOBXHDL12A81C204C0
1032,The Big Gundown,Invaders Must Die Remixes and Bonus Tracks,The Prodigy,2009,SOVIZNF12AF72A710A
1181,Luvstruck,Hard House Anthems,Southside Spinners,1999,SOBRHVR12A8C133F35
1068,Take A Bow,Ultimate R&B Love 2009,Rihanna,2008,SOQWYAQ12A6D4FB9A3
1114,Kryptonite,Total 90s,3 Doors Down,1997,SOLLNTU12A6701CFDC
1127,Ain't No Rest For The Wicked (Original Version),Cage The Elephant,Cage The Elephant,2008,SOJTLHS12A8C13F633
1102,What Goes Around...Comes Around,What Goes Around... Comes Around,Justin Timberlake,2007,SOMYXWV12A8C14232E
1191,Dog Days Are Over (Radio Edit),Now That's What I Call Music! 75,Florence + The Machine,0,SOAXGDH12A8C13F8A1
1198,Harder Better Faster Stronger,Discovery,Daft Punk,2007,SOAFTRR12AF72A8D4D
1148,Speak,Good Times_ Bad Times - Ten Years of Godsmack,Godsmack,2006,SOHALKJ12AB017FCC2
1174,Sorrow (1997 Digital Remaster),The Best Of David Bowie 1969-74,David Bowie,0,SODCNEE12A6310E037
1197,Such Great Heights,Grey's Anatomy Original Soundtrack,The Postal Service,2003,SOAKMDU12A8C1346A9
1120,The Only Exception (Album Version),The Only Exception,Paramore,0,SOKUPAO12AB018D576
1088,Transparency,Workout Holiday,White Denim,2008,SOOGNOZ12AAF3B2936
1185,Lucky (Album Version),We Sing.  We Dance.  We Steal Things.,Jason Mraz & Colbie Caillat,0,SOBOAFP12A8C131F36
1021,Time To Pretend,Time To Pretend,MGMT,2005,SOWOMMY127F8096DF9
1199,Halo,Halo,Beyoncé,2008,SOADJQJ12A8C141D38
1168,One Time,One Time,Justin Bieber,2009,SODOWUC12AC9097E76
1149,Love Me,My Worlds,Justin Bieber,2009,SOGWJEY12AC9618862
1043,Never Let You Go,My Worlds,Justin Bieber,2010,SOUGCDK12AC95F075F
1155,The Want Ad,Original Sin,Pandora's Box,0,SOGLWGG12A6D4F8046
1089,Représente,Fat Come Back,Alliance Ethnik,1999,SOOFYTN12A6D4F9B35
1171,Somebody To Love,My Worlds,Justin Bieber,2010,SODGVGW12AC9075A8D
1171,Somebody To Love,My World 2.0,Justin Bieber,2010,SODGVGW12AC9075A8D
1065,The Middle,Bleed American,Jimmy Eat World,2001,SORWLTW12A670208FA
1143,It's My Own Fault,The Best Of Johnny Winter,Johnny Winter,1968,SOHTCVN12A8C134E46
1033,Ain't Misbehavin,Summertime,Sam Cooke,0,SOVDSJC12A58A7A271
1042,Savior,Appeal To Reason,Rise Against,2008,SOUJVIT12A8C1451C1
1153,Gives You Hell,When The World Comes Down,The All-American Rejects,2008,SOGPNGN12A8C143969
1112,Bulletproof,Bulletproof,La Roux,2009,SOLRGVL12A8C143BC3
1160,Just Dance,Just Dance,Lady GaGa / Colby O'Donis,2008,SOFKABN12A8AE476C6
1145,West One (Shine On Me),The Crack/Grin And Bear It,The Ruts,1980,SOHFJAQ12AB017E4AF
1026,16 Candles,16 Candles,The Crests,1988,SOWEHOM12A6BD4E09E
1156,U Smile,My Worlds,Justin Bieber,2010,SOGCWUH12AC90732B0
1072,Sayonara-Nostalgia,Yuugata Generation,Base Ball Bear,2005,SOQCGHN12AB0181246
1023,Without Me,Without Me,Eminem,2002,SOWGXOP12A6701E93A
1158,Hey There Delilah,Now That's What I Call Music! 68,Plain White T's,2005,SOFRCGW12A81C21EA6
1132,If I Had You,For Your Entertainment (Deluxe Version),Adam Lambert,2009,SOISNSU12AC468C0D8
1169,Breakeven,Now That's What I Call Music! 72,The Script,2008,SODLLYS12A8C13A96B
1007,Bad Company,War Is The Answer,Five Finger Death Punch,2009,SOYGHUM12AB018139C
1061,Sleepyhead,Manners,Passion Pit,2008,SOSLQQJ12AB017BDCC
1175,Whataya Want From Me,Whataya Want From Me,Adam Lambert,2009,SODCADR12AF72A1A99
1028,Video Killed The Radio Star,Friends Reunited: Music Of The Year 1979,The Buggles,1979,SOVWBYM12A6D4F8A22
1146,Picture,The Very Best Of Sheryl Crow,Sheryl Crow,0,SOHFGKG12A6701C429
1075,Canada,The End Is Here,Five Iron Frenzy,0,SOPUCYA12A8C13A694
1004,A Beggar On A Beach Of Gold,Beggar On A Beach Of Gold,Mike And The Mechanics,1995,SOZCDWG12A6D4F81E1
1130,Supermassive Black Hole (Twilight Soundtrack Version),Music From The Original Motion Picture Soundtrack,Muse,0,SOIZLKI12A6D4F7B61
1130,Supermassive Black Hole (Album Version),Supermassive Black Hole,Muse,0,SOIZLKI12A6D4F7B61
1079,I'm On A Boat,Incredibad,The Lonely Island / T-Pain,2009,SOPREHY12AB01815F9
1060,Bubble Toes,Brushfire Fairytales,Jack Johnson,2000,SOSPXWA12AB0181875
1060,Bubble Toes,Brushfire Fairytales,Jack Johnson,2000,SOSPXWA12AB0181875
1140,Non E_ Per Te_ Per Me,Alejandro Sanz 3,Alejandro Sanz,0,SOHYLXU12A8C139492
1173,Jamaica Roots II(Agora E Sempre),Nova Bis-Natiruts,Natiruts,0,SODCNJX12A6D4F93CB
1134,Crumpshit,Lonely Day,Philippe Rochard,0,SOIOZHO12AB017FE5E
1005,Heads Will Roll,It's Blitz!,Yeah Yeah Yeahs,2009,SOYMIMI12AB0181E5C
1124,The Scientist,The Scientist,Coldplay,2002,SOKLRPJ12A8C13C3FE
1178,Creil City,Fat Come Back,Alliance Ethnik,1999,SOCNAXF12A6D4F9B34
1179,Bleed It Out [Live At Milton Keynes],Road To Revolution: Live At Milton Keynes,Linkin Park,2008,SOCKSGZ12A58A7CA4B
1085,I Will Follow You into the Dark (Album Version),Plans,Death Cab for Cutie,2005,SOOYDAZ12A58A7AE08
1161,Nothing Better (Album),Give Up,Postal Service,2003,SOFCPOU12A8C13BF40
1040,Gears,Gears,Future Rock,0,SOUNJIO12AB0181339
1084,I Think I'll Live,Less And Less And I Don't Love You Anymore,Charlie Louvin,0,SOPABZM12A6D4FC668
1069,Paradise City,Greatest Hits,Guns N' Roses,1987,SOQGVCS12AF72A078D
1055,The Gift,We Don't Need To Whisper,Angels and Airwaves,2006,SOTCMDJ12A6D4F8528
1177,All Tomorrow's Parties,The Velvet Underground & Nico,The Velvet Underground / Nico,1966,SOCNLEI12A67021565
1082,Here_ There And Everywhere,Don't Take Your Time,Erin Bode,2004,SOPBFHP12A8C131F30
1051,Rio,London Weekend,Another Sunny Day,1990,SOTUARP12A8C13CB54
1027,Use Somebody,Use Somebody,Kings Of Leon,2008,SOWCKVR12A8C142411
1027,Use Somebody,Hitzone 49,Kings Of Leon,2008,SOWCKVR12A8C142411
1006,All I Do Is Win (feat. T-Pain_ Ludacris_ Snoop Dogg & Rick Ross),Victory,DJ Khaled,2010,SOYGKNI12AB0187E6E
1044,Invalid,Fermi Paradox,Tub Ring,2002,SOUFTBI12AB0183F65
1073,Yellow,Yellow,Coldplay,2000,SOPXKYD12A6D4FA876
1073,Yellow,Deejay 25,Coldplay,2000,SOPXKYD12A6D4FA876
1195,Up Up & Away,Man On The Moon: The End Of Day,Kid Cudi,2009,SOARUPP12AB01842E0
1039,I CAN'T GET STARTED,It's The Time,Ron Carter,0,SOUNZHU12A8AE47481
1012,Bitter Sweet Symphony,Bitter Sweet Symphony,The Verve,1997,SOXQYSC12A6310E908
1093,Mr. Jones,Films About Ghosts (The Best Of Counting Crows),Counting Crows,1991,SONQEYS12AF72AABC9
1184,You're The One,If There Was A Way,Dwight Yoakam,1990,SOBONKR12A58A7A7E0
1052,Make Her Say,Make Her Say,Kid Cudi / Kanye West / Common,2009,SOTNHIP12AB0183131
1135,Unwell (Album Version),More Than You Think You Are,matchbox twenty,2003,SOIOESO12A6D4F621D
1142,Catch You Baby (Steve Pitron & Max Sanna Radio Edit),Catch You Baby,Lonnie Gordon,0,SOHTKMO12AB01843B0
1098,Rianna,The Update Collection Vol. 2,Fisher,0,SONHWUN12AC468C014
1118,It Was A Good Day,Hip Hop - The Collection 3,Ice Cube,1992,SOKYHYL12A8C13D79D
1144,Kiss With A Fist,Wild Child OST,Florence + The Machine,2009,SOHFNKO12AB017C772
1002,When You Were Young,When You  Were Young,The Killers,2006,SOZVCRW12A67ADA0B7
1141,Dans Ma Bulle (Edit Radio - Live 2006),Dans Ma Bulle,Diam's,2006,SOHWXEU12A8C1320D1
1097,Bring Me To Life,Fallen,Evanescence,2003,SONIQRE12AF72A2B02
1097,Bring Me To Life,Fallen,Evanescence,2003,SONIQRE12AF72A2B02
1096,Float On,Float On,Modest Mouse,2003,SONNSYV12A8C146BEC
1125,Interactive Halloween Bear,TV Loves You Back,Restiform Bodies,2008,SOKENKR12AB01828F7
1109,Who Can Compare,Let's Not Forget The Story,Foolish Things,2006,SOMCAFM12A58A7B024
1129,What I've Done (Album Version),What I've Done,Linkin Park,2007,SOJKQSF12A6D4F5EE9
1071,Wild World,Tea For The Tillerman,Cat Stevens,1970,SOQGOPT12AAF3B2B27
1100,What You Know,Tourist History,Two Door Cinema Club,2010,SONEWAX12AB018DD3F
1159,Tive Sim,Nova Bis-Cartola,Cartola,1974,SOFLJQZ12A6D4FADA6
1115,Sugar Ray (LP Version),Falling Off The Bone,Todd Barry,2004,SOLGPOU12A58A7EA20
1116,Frisch und g'sund,Musik mit Herz und Schwung,Die Mooskirchner,0,SOLGLUC12AB018A8FA
1067,Better To Reign In Hell,Damnation And A Day,Cradle Of Filth,2003,SOQZYQH12A8AE468E5
1064,Alejandro,The Fame Monster,Lady GaGa,2009,SOSCIZP12AB0181D2F
1151,A-Punk (Album),Vampire Weekend,Vampire Weekend,2007,SOGTDJQ12A8C13324F
1108,Le Jardin d'Hiver,Smile,Jacky Terrasson,2002,SOMCMKG12A8C1347BF
1192,Now I'm High_ Really High,Underground Vol. I,Triple Six Mafia,0,SOAVFLR12A8C138576
1165,Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),Mozart - Eine kleine Nachtmusik,Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,0,SOEGIYH12A6D4FC0E3
1022,Whatcha Say,Whatcha Say,Jason Derulo,2009,SOWKQYL12AB0183B15
1172,Day 'N' Nite,R&B Yearbook,Kid Cudi Vs Crookers,2008,SODGJKH12AAA8C9487
1154,Livin' On A Prayer,Cross Road,Bon Jovi,1986,SOGPBAW12A6D4F9F22
1150,Vanilla Twilight,Ocean Eyes,Owl City,2009,SOGTQNI12AB0184A5C
1016,I Gotta Feeling,Todo Éxitos 2009,Black Eyed Peas,2009,SOXFPND12AB017C9D1
1057,Robot Soul (Radio Edit),Robot Soul,Cosmo Vitelli,0,SOSYOHI12A8C144584
1121,The Real Slim Shady,Curtain Call,Eminem,2000,SOKOXWU12AF72AD1BC
1121,The Real Slim Shady,The Marshall Mathers LP,Eminem,2000,SOKOXWU12AF72AD1BC
1011,Everlong,The Colour And The Shape (Special Edition),Foo Fighters,1992,SOXVVSM12A8C142224
1011,Everlong,Greatest Hits,Foo Fighters,1992,SOXVVSM12A8C142224
1013,Electric Feel,The Anthems,MGMT,2007,SOXPFLM12A8AE48C50
1056,Teach Me How To Dougie,Teach Me How To Dougie,California Swag District,0,SOSZJFV12AB01878CB
1035,Drop The World,Drop The World,Lil Wayne / Eminem,0,SOUVTSM12AC468F6A7
1176,Clocks,A Rush Of Blood To The Head,Coldplay,2002,SOCVTLJ12A6310F0FD
1164,Ghosts 'n' Stuff (Original Instrumental Mix),Ghosts 'n' Stuff,Deadmau5,2009,SOEPZQS12A8C1436C7
1182,'Till I Collapse,The Eminem Show,Eminem / Nate Dogg,2002,SOBPKPW12A6701E8F9
1094,Strut (1993 Digital Remaster),The World Of Sheena Easton - The Singles,Sheena Easton,0,SONQCXC12A6D4F6A37
1031,Sweet home Alabama,To Die For,Lynyrd Skynyrd,1974,SOVQJRY12A81C210C0
1074,In The End (Album Version),Hybrid Theory,Linkin Park,2000,SOPVQLJ12A67AE2281
1046,Make Love To Your Mind,Playlist: The Very Best Of Bill Withers,Bill Withers,1975,SOUDLVN12AAFF43658
1063,Master Of Puppets,Master Of Puppets,Metallica,1986,SOSJRJP12A6D4F826F
1059,You Belong With Me,Fearless,Taylor Swift,2008,SOSROFB12AAF3B4C5D
1138,That Should Be Me,My Worlds,Justin Bieber,2010,SOIDDNJ12AC9071B90
1194,Seven Nation Army,Seven Nation Army,The White Stripes,2003,SOAUFOF12AB0180C65
1194,Seven Nation Army (Album Version),Elephant,The White Stripes,2003,SOAUFOF12AB0180C65
1110,(iii),The Battle Of Electricity,The Gerbils,2001,SOMBGAL12AB0181F7F
1188,Imma Be,THE E.N.D. (THE ENERGY NEVER DIES),Black Eyed Peas,2009,SOBADEB12AB018275F
1037,OMG,OMG - The Remixes,Usher featuring will.i.am,2010,SOUSMXX12AB0185C24
1047,Love Story,Het Beste Uit De Top 40 - 2009,Taylor Swift,2008,SOTWSXL12A8C143349
1047,Love Story,Fearless,Taylor Swift,2008,SOTWSXL12A8C143349
1170,Hey_ Soul Sister,Save Me_ San Francisco,Train,0,SODJWHY12A8C142CCE
1066,Mercy:The Laundromat,Westing (By Musket and Sextant),Pavement,1993,SORJICW12A8C13640D
1036,Our Song,Taylor Swift,Taylor Swift,2006,SOUVGJL12AB017FC35
1101,Recado Falado (Metrô Da Saudade),2 Em 1,Alceu Valença,0,SONDKOF12A6D4F7D70
1117,Fireflies,Karaoke Monthly Vol. 2 (January 2010),Charttraxx Karaoke,2009,SOLFXKT12AB017E3E0
1017,It's My Life,Crush,Bon Jovi,2000,SOWYYUQ12A6701D68D
1122,Call It Off (Album Version),The Con,Tegan And Sara,2007,SOKOSPK12A8C13C088
1157,Sehr kosmisch,Musik von Harmonia,Harmonia,0,SOFRQTD12A81C233C0
1081,Pursuit Of Happiness (nightmare),Pursuit Of Happiness,Kid Cudi / MGMT / Ratatat,2010,SOPPROJ12AB0184E18
1190,Oceanside,Akron/Family & Angels Of Light,Angels Of Light & Akron/Family,2005,SOAZZRU12AB0182B0E
1034,Tighten Up,Tighten Up,The Black Keys,2010,SOVDLZN12AB0185BEA
1050,Numb (Album Version),The Sickness,Disturbed,2000,SOTVLHC12A6701EA31
1106,Sinisten tähtien alla,Tatsum Tisal,J. Karjalainen & Mustat Lasit,0,SOMGVYU12A8C1314FF
1024,Una Confusion,All Access,LU,2006,SOWGCMN12A8C136E44
1126,Shots,Party Rock,LMFAO / Lil Jon,2008,SOJYBJZ12AB01801D0
1049,Home,Up From Below,Edward Sharpe & The Magnetic Zeros,2009,SOTVLQY12A58A798C2
1196,Uprising,Uprising,Muse,0,SOANQFY12AB0183239
1077,Billionaire [feat. Bruno Mars]  (Explicit Album Version),Billionaire [feat. Bruno Mars],Travie McCoy,0,SOPTLQL12AB018D56F
1076,Le Soir,Collection Disques Pathé,Line Renaud,0,SOPTPWD12A6D4FBD4E
1091,Secrets,Waking Up,OneRepublic,2009,SONYKOW12AB01849C9
1095,I Kissed A Girl,One Of The Boys (iTunes Exclusive),Katy Perry,2008,SONOYIB12A81C1F88C
1058,Revelry,Only By The Night,Kings Of Leon,2008,SOSXLTC12AF72A7F54
1080,Creep (Explicit),Pablo Honey,Radiohead,1993,SOPQLBY12A6310E992
1147,Superman,The Eminem Show,Eminem / Dina Rae,2003,SOHEMBB12A6701E907
1078,Almaz,Every Kind Of Mood,Randy Crawford,1986,SOPSOHT12A67AE0235
1162,Times Like These,On And On,Jack Johnson,2003,SOERYLG12A6701F07F
1166,Hotel California,Hotel California / Pretty Maids All In A Row [Digital 45],Eagles,1976,SOEBOWM12AB017F279
1045,Heartbreak Warfare,Battle Studies,John Mayer,0,SOUFPNI12A8C142D19
1200,221,Spun,keller williams,1998,SOACBLB12AB01871C7
1019,Dream On,Aerosmith,Aerosmith,1973,SOWRTJD12A8C132704
1053,Skinny Love,For Emma_ Forever Ago,Bon Iver,2007,SOTKYBW12A8C13C3EA
1001,Greece 2000,Greece 2000,Three Drives,1997,SOZVVRE12A8C143150
1186,Nine Times Out Of Ten (1998 Digital Remaster),The Platinum Collection,Cliff Richard & The Shadows,0,SOBMKJU12A6D4F7128
1018,Bigger Isn't Better,Born on the Wrong Planet,The String Cheese Incident,1997,SOWSPUS12AC468BEE3
1048,Marry Me,Save Me_ San Francisco,Train,2009,SOTWNDJ12A8C143984
1111,All The Right Moves,Waking Up,OneRepublic,2009,SOLWZVR12AB01849C6
1054,Forever,Relapse: Refill,Drake / Kanye West / Lil Wayne / Eminem,0,SOTEGWG12AB01897AC
1123,How You Remind Me,FETENHITS - New Party Rock (set),Nickelback,2000,SOKMHKY12AF72AB079
1119,Do You Remember,In Between Dreams,Jack Johnson,2005,SOKUTUM12A6701D9CD
1139,Mockingbird,R&B 2006,Eminem,2004,SOHYSXA12AB0186704
1131,Fuck Kitty,Frumpie One-Piece,Frumpies,1993,SOIZFTE12AB0186842
1090,Above The Clouds (Edited),Mass Appeal: The Best of Gang Starr [Edited],Gang Starr/Inspectah Deck,0,SOOEGCA12A6D4F8B80
1025,Fix You,X & Y,Coldplay,2005,SOWEJXA12A6701C574
1030,Howlin For You,Brothers,The Black Keys,2010,SOVRTPN12AB0184F9E
1062,Victoria (LP Version),Hit By A Train: The Best Of Old 97's,Old 97's,2006,SOSJSSU12A6D4F8F41
